student_id,life_risk,study_risk,sport_risk,total_risk,risk_level,dominant_dimension,life_shap_top1,life_shap_top2,life_shap_top3,study_shap_top1,study_shap_top2,study_shap_top3,sport_shap_top1,sport_shap_top2,sport_shap_top3,M_score,A_score,P_score,dominant_MAP,pattern_label,pattern_reason,profile_text,intervention_type,intervention_text,priority
pjwtqxbj965,1.0,,,1.0,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,semester,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.2163027735023465,0.11690033928354565,-0.024163697506205593,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxpqxbj944,1.0,,,1.0,高风险,life,club_active_flag,lib_visit_count,semester,avg_score,avg_score,avg_score,ywqz_mean,ywqz_mean,ywqz_mean,-0.0910168675736851,-0.9195874100313332,-0.023630884870066027,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxuqwbj474,1.0,,,1.0,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.20074228104514544,-0.753181067624626,-0.024159814324321353,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxuqwbj800,1.0,,,1.0,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,semester,semester,ywqz_mean,ywqz_mean,ywqz_mean,-0.07178222180965381,-0.7635894348485396,-0.03920832473852665,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqwbk826,1.0,,,1.0,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07223744341793158,-0.5425280035327499,-0.0117646564552564,P,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbj241,1.0,,,1.0,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756554883563304,0.1181565056716401,-0.036918248020794055,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbk414,1.0,,,1.0,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,semester,semester,ywqz_mean,ywqz_mean,ywqz_mean,-0.20089079222021336,-0.7532274562727039,-0.03779830494899922,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbk680,1.0,,,1.0,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756554883563287,0.1182565056716401,-0.02287066121012656,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj469,0.9986957455951869,,,0.9986957455951869,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.07554982161459822,0.11725428346842513,-0.010370299343871533,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxrqxbj962,0.9980851735015773,,,0.9980851735015773,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.15185250373867817,0.11734261657794304,-0.020527069204024796,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
