student_id,life_risk,study_risk,sport_risk,total_risk,risk_level,dominant_dimension,study_best_cls_model,life_shap_top1,life_shap_top2,life_shap_top3,study_shap_top1,study_shap_top2,study_shap_top3,sport_shap_top1,sport_shap_top2,sport_shap_top3,M_score,A_score,P_score,dominant_MAP,pattern_label,pattern_reason,profile_text,intervention_type,intervention_text,priority
pjxyqwbj673,0.96,0.9236872498093625,0.4205792572134639,0.7680888356742755,高风险,life,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决生活主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj276,,0.9235461893271496,0.5502780625095578,0.7369121259183538,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbk217,,0.8906581340328708,0.5184723083343085,0.7045652211835896,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbk551,,0.912701900933934,0.49621908919804647,0.7044604950659903,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxrqxbj988,0.6936391734111039,0.8263606126121636,0.5321989869953506,0.6840662576728728,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj594,,0.9005957553416508,0.4599528584425057,0.6802743068920782,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。,提示,建议优先围绕学习维度开展干预，结合行为提醒、外部约束与环境触发优化，提升学习执行与反馈闭环。,P1
pjxyqxbk140,0.5014789590651059,0.9960453477600224,0.536961073754861,0.6781617935266632,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbj762,0.9445965366383541,0.6780237584004748,0.4100949703661807,0.6775717551350032,高风险,life,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决生活主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj409,0.5014789590651059,0.9182731559285136,0.595007092536298,0.6715864025099725,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjwtqxbj971,0.9936957455951869,0.704606449874749,0.2886092112748831,0.662303802248273,高风险,life,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决生活主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
