student_id,pattern_label,pattern_reason
pjxyqwbj673,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj276,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk217,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk551,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxrqxbj988,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj594,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqxbk140,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj762,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj409,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjwtqxbj971,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj448,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuzvbj991,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj825,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj718,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxqzxbj967,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk686,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk685,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqwbj288,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl755,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj397,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxwxxbj963,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj048,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj861,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj542,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk257,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj659,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj974,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj497,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj149,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj955,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj347,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxrqxbj905,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk723,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk799,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk746,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqxbj710,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk511,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl713,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj799,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj913,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj701,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxrqxbj916,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj876,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl746,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxrqxbj914,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqxbk468,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl723,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxsqxbj823,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj695,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj986,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxsqxbj751,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk724,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj924,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxqzxbj982,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk777,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqwbj692,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk504,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk920,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk896,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj589,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl703,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj772,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk261,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl980,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj059,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj743,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk895,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbk825,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxsqxbj921,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj642,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
200307700011,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。
pjxyqxbj054,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj971,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj625,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj980,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjwrqxbj998,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj558,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxwxxbj924,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl789,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxuqwbj492,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbj585,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxpqxbj930,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqwbk510,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl839,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
