student_id,risk_level,dominant_dimension,pattern_label,profile_text
pjxyqwbj673,高风险,生活,多维叠加高风险型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqwbj276,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqxbk217,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqwbk551,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxrqxbj988,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxuqwbj594,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。
pjxyqxbk140,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqxbj762,高风险,生活,多维叠加高风险型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqwbj409,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjwtqxbj971,高风险,生活,多维叠加高风险型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxyqxbj448,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
pjxuzvbj991,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。
