student_id,risk_level,dominant_dimension,pattern_label,profile_text
pjwtqxbj965,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxpqxbj944,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj474,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj800,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbk826,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbj241,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk414,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk680,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj469,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxrqxbj962,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj585,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj419,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、fhl_mean。从机制上看，问题主要集中在动机。在群体中，该学生属于生活失衡型。建议优先从动机干预入手。
pjxyqxbj679,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl797,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj100,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk520,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbj290,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxrqxbj903,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj088,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbj248,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj681,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
