student_id,pattern_label,pattern_reason
pjwtqxbj965,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxpqxbj944,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj474,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj800,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbk826,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbj241,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk414,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk680,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj469,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxrqxbj962,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj585,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj419,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj679,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbl797,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqwbj100,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk520,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj290,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxrqxbj903,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj088,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj248,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbj681,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj714,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqwbj086,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxqqxbj985,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbj054,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbl673,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbj658,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk501,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。
pjxyqxbj955,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj485,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxuqwbj783,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj646,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj895,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxxxxbj955,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxrqxbj955,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj778,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk980,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj770,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbl737,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqwbk893,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbl808,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk101,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbk630,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj151,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxpqxbj915,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxsqxbj916,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk350,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj732,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxpqxbj937,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbl839,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj818,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk798,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj591,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj666,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj837,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbj762,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxrqxbj990,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk458,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxsqxbj971,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk065,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj219,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbk723,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。
pjxyqxbl929,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxqqxbj957,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxqqxbj964,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbj261,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqxbl817,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbj237,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbk756,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj500,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxqqxbj982,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbk070,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxuqwbj528,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbk544,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqwbj166,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxrqxbj943,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。
pjxyqwbk686,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj198,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。
pjxyqxbl688,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbj718,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxsqxbj864,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。
pjxyqxbl712,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。
pjxuqwbj861,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
pjxrqxbj905,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
pjxuqwbj847,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 year_start。
pjxyqxbj709,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
pjxyqxbj566,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。
pjxuqwbj497,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_count。
pjxyqwbk622,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
pjxyqxbj169,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。
pjxsqxbj921,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
pjxyqwbj913,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 year_start。
pjxyqwbj397,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 absent_rate。
